Observation,Grade,Label,Prediction,Threshold,New Prediction,Explanation,Change
188,G,True,0.5015345338401491,0.5,0.3984152158442524,3,annual_inc from 29616.79713988083 to 66085.45986557804
188,G,True,0.5015345338401491,0.5,0.4561152329948631,4,revol_util from 82.32648148148148 to 50.401448533641975
188,G,True,0.5015345338401491,0.5,0.4894425731169904,5,home_ownership::MORTGAGE from 0.0 to 1.0
188,G,True,0.5015345338401491,0.5,0.4894425731169904,5,home_ownership::RENT from 1.0 to 0.0
188,G,True,0.5015345338401491,0.5,0.4965443559508115,6,emp_length::1 year from 1.0 to 0.0
188,G,True,0.5015345338401491,0.5,0.4965443559508115,6,emp_length::10+ years from 0.0 to 1.0
188,G,True,0.5015345338401491,0.5,0.49796968189783225,7,revol_bal from 7550.959089398415 to 12602.222474979331
188,G,True,0.5015345338401491,0.5,0.4919106331316923,8,open_acc from 2.296875 to 14.77534140625
188,G,True,0.5015345338401491,0.5,0.4919106331316923,8,fico_range_low from 660.0 to 695.6427500000001
188,G,True,0.5015345338401491,0.5,0.4951421760510448,9,fico_range_low from 660.0 to 695.6427500000001
188,G,True,0.5015345338401491,0.5,0.4951421760510448,9,cr_hist from 117.68518689979737 to 171.39587691412487
188,G,True,0.5015345338401491,0.5,0.49793242232118645,10,loan_amnt from 14124.999999999998 to 14398.863749999999
188,G,True,0.5015345338401491,0.5,0.49793242232118645,10,fico_range_low from 660.0 to 695.6427500000001
189,C,False,0.19398036369376556,0.5,,0,No Explanation
190,B,False,0.11642610337859105,0.5,,0,No Explanation
191,C,True,0.16600317099122258,0.5,,0,No Explanation
192,A,False,0.021600420837705053,0.5,,0,No Explanation
193,A,False,0.13245818529431974,0.5,,0,No Explanation
194,B,False,0.17679865436017897,0.5,,0,No Explanation
195,D,True,0.42290284898498204,0.5,,0,No Explanation
196,E,False,0.16952595865427092,0.5,,0,No Explanation
197,D,True,0.1283885270559146,0.5,,0,No Explanation
198,A,False,0.16856194544113365,0.5,,0,No Explanation
199,C,False,0.16641737441442403,0.5,,0,No Explanation
200,A,False,0.1053740656183227,0.5,,0,No Explanation
201,A,True,0.0901838256564556,0.5,,0,No Explanation
202,A,False,0.20756441662488911,0.5,,0,No Explanation
203,A,False,0.03862365115449362,0.5,,0,No Explanation
204,B,False,0.15240920824826965,0.5,,0,No Explanation
205,B,False,0.05326510233524605,0.5,,0,No Explanation
206,C,False,0.17712227711673184,0.5,,0,No Explanation
207,A,False,0.05990619419089854,0.5,,0,No Explanation
208,A,False,0.19974423426929183,0.5,,0,No Explanation
209,A,False,0.20813828959872738,0.5,,0,No Explanation
210,B,False,0.15134460787543033,0.5,,0,No Explanation
211,B,False,0.21288342292551765,0.5,,0,No Explanation
212,F,False,0.5058445396602695,0.5,0.3391251772382875,1,fico_range_high from 664.0 to 699.6428999999999
212,F,False,0.5058445396602695,0.5,0.35486599260959306,2,term:: 36 months from 0.0 to 1.0
212,F,False,0.5058445396602695,0.5,0.35486599260959306,2,term:: 60 months from 1.0 to 0.0
212,F,False,0.5058445396602695,0.5,0.37413515343239445,3,annual_inc from 37546.72706362765 to 66085.45986557804
212,F,False,0.5058445396602695,0.5,0.3769201286365422,4,fico_range_low from 660.0 to 695.6427500000001
212,F,False,0.5058445396602695,0.5,0.4408104509035337,5,cr_hist from 150.36317368650992 to 171.39587691412487
212,F,False,0.5058445396602695,0.5,0.44653673232746355,6,dti from 2.5703063063063065 to 2.0512227454354353
212,F,False,0.5058445396602695,0.5,0.46156741715274957,7,revol_util from 74.00777777777779 to 50.401448533641975
212,F,False,0.5058445396602695,0.5,0.49141452523025503,8,revol_bal from 11770.589880237621 to 12602.222474979331
212,F,False,0.5058445396602695,0.5,0.4974423817548571,9,emp_length::10+ years from 0.0 to 1.0
212,F,False,0.5058445396602695,0.5,0.4974423817548571,9,emp_length::7 years from 1.0 to 0.0
213,C,True,0.10898204589159918,0.5,,0,No Explanation
214,C,False,0.16186022289221205,0.5,,0,No Explanation
215,A,False,0.0298576545242603,0.5,,0,No Explanation
216,C,True,0.35556694056447063,0.5,,0,No Explanation
217,A,False,0.046160463087555836,0.5,,0,No Explanation
218,C,False,0.06325176134845607,0.5,,0,No Explanation
219,B,False,0.1302997622680879,0.5,,0,No Explanation
220,B,False,0.17321783663150414,0.5,,0,No Explanation
221,B,False,0.13503647331039265,0.5,,0,No Explanation
222,C,False,0.20093798236526808,0.5,,0,No Explanation
223,E,False,0.3124574720192432,0.5,,0,No Explanation
224,A,False,0.07511606998497178,0.5,,0,No Explanation
225,E,False,0.33013608750433016,0.5,,0,No Explanation
226,C,False,0.12928565501644,0.5,,0,No Explanation
227,C,False,0.18611665242149292,0.5,,0,No Explanation
228,D,False,0.15453365478362746,0.5,,0,No Explanation
229,B,True,0.096638969577002,0.5,,0,No Explanation
230,B,False,0.2189712533159371,0.5,,0,No Explanation
231,B,False,0.19733831650237552,0.5,,0,No Explanation
232,B,False,0.12015317121746329,0.5,,0,No Explanation
233,D,False,0.07848011562689305,0.5,,0,No Explanation
234,A,False,0.12901695472996128,0.5,,0,No Explanation
235,B,False,0.17432851507765965,0.5,,0,No Explanation
236,F,True,0.3153118118060621,0.5,,0,No Explanation
237,A,False,0.07439206048920846,0.5,,0,No Explanation
238,C,False,0.2988959342094792,0.5,,0,No Explanation
239,B,False,0.3651369755521439,0.5,,0,No Explanation
240,B,False,0.1989543595494133,0.5,,0,No Explanation
241,B,False,0.16178907801342227,0.5,,0,No Explanation
242,C,False,0.1414537020673599,0.5,,0,No Explanation
243,A,False,0.028353704119010243,0.5,,0,No Explanation
244,A,False,0.1623120361638332,0.5,,0,No Explanation
245,D,False,0.2775851206243483,0.5,,0,No Explanation
246,C,False,0.3220601664301066,0.5,,0,No Explanation
247,B,False,0.09944659270892371,0.5,,0,No Explanation
248,C,False,0.13640636873662298,0.5,,0,No Explanation
249,C,False,0.09719950992291493,0.5,,0,No Explanation
250,A,False,0.08546675813295997,0.5,,0,No Explanation
251,A,False,0.11202571744374204,0.5,,0,No Explanation
252,C,False,0.2383122775530824,0.5,,0,No Explanation
253,E,False,0.19944377724326243,0.5,,0,No Explanation
254,C,False,0.2707377369595885,0.5,,0,No Explanation
255,C,False,0.34230381920116315,0.5,,0,No Explanation
256,A,False,0.051343043531883015,0.5,,0,No Explanation
257,A,False,0.11637401405348732,0.5,,0,No Explanation
258,B,True,0.07463891029576297,0.5,,0,No Explanation
259,A,False,0.13235494590870261,0.5,,0,No Explanation
260,B,False,0.0998537469815451,0.5,,0,No Explanation
261,B,False,0.24917199761482928,0.5,,0,No Explanation
262,D,True,0.41853394023370516,0.5,,0,No Explanation
263,A,False,0.09244759377571507,0.5,,0,No Explanation
264,A,False,0.028032257698863472,0.5,,0,No Explanation
265,B,False,0.20847427481673228,0.5,,0,No Explanation
266,B,False,0.13891555378827905,0.5,,0,No Explanation
267,B,False,0.30469256683933127,0.5,,0,No Explanation
268,A,False,0.023664417457804378,0.5,,0,No Explanation
269,B,False,0.1677716551126742,0.5,,0,No Explanation
270,C,False,0.2595786219838952,0.5,,0,No Explanation
271,E,False,0.4547127615204814,0.5,,0,No Explanation
272,B,False,0.09397682612516832,0.5,,0,No Explanation
273,B,False,0.15665470333056708,0.5,,0,No Explanation
274,D,False,0.18514693414131206,0.5,,0,No Explanation
275,D,False,0.2795865987337504,0.5,,0,No Explanation
276,C,True,0.20701346606561935,0.5,,0,No Explanation
277,B,False,0.2858568740394421,0.5,,0,No Explanation
278,A,False,0.11031429962640377,0.5,,0,No Explanation
279,A,False,0.017577639751552795,0.5,,0,No Explanation
280,E,False,0.27017542976502434,0.5,,0,No Explanation
281,E,True,0.3574056281540462,0.5,,0,No Explanation
282,E,False,0.19386737663108486,0.5,,0,No Explanation
283,C,True,0.23095059808660465,0.5,,0,No Explanation
284,A,False,0.08095463901682656,0.5,,0,No Explanation
285,C,False,0.20787732416784996,0.5,,0,No Explanation
286,D,False,0.19106867288858737,0.5,,0,No Explanation
287,A,False,0.13866575740859663,0.5,,0,No Explanation
288,F,False,0.3333024701956975,0.5,,0,No Explanation
289,A,False,0.11148264135141697,0.5,,0,No Explanation
290,B,False,0.23479927023046357,0.5,,0,No Explanation
291,D,False,0.2722557991403365,0.5,,0,No Explanation
292,D,True,0.2743614327877736,0.5,,0,No Explanation
293,B,False,0.11696028275192027,0.5,,0,No Explanation
294,B,False,0.27521978540611275,0.5,,0,No Explanation
295,B,False,0.07264022071946831,0.5,,0,No Explanation
296,C,False,0.27107057816470614,0.5,,0,No Explanation
297,D,False,0.22136316957068555,0.5,,0,No Explanation
298,E,False,0.3470652642402496,0.5,,0,No Explanation
299,A,False,0.06716326892642682,0.5,,0,No Explanation
300,E,False,0.30039466393844994,0.5,,0,No Explanation
301,A,False,0.08688094505589598,0.5,,0,No Explanation
302,A,False,0.03718415602787178,0.5,,0,No Explanation
303,E,True,0.34793054139064605,0.5,,0,No Explanation
304,C,True,0.2809468595421898,0.5,,0,No Explanation
305,F,False,0.47791016032418404,0.5,,0,No Explanation
306,D,True,0.3358199189101013,0.5,,0,No Explanation
307,C,False,0.28036259429064503,0.5,,0,No Explanation
308,A,False,0.11139345442807753,0.5,,0,No Explanation
309,A,False,0.04802966954807001,0.5,,0,No Explanation
310,D,False,0.18007703373338052,0.5,,0,No Explanation
311,C,False,0.1499775602702938,0.5,,0,No Explanation
312,B,False,0.06687564593683981,0.5,,0,No Explanation
313,A,False,0.04040180419828169,0.5,,0,No Explanation
314,B,False,0.11497101424942124,0.5,,0,No Explanation
315,C,False,0.17913533087358136,0.5,,0,No Explanation
316,B,False,0.1956253233678962,0.5,,0,No Explanation
317,B,False,0.12554277632506503,0.5,,0,No Explanation
318,C,True,0.24322527116717382,0.5,,0,No Explanation
319,A,False,0.2248600893166839,0.5,,0,No Explanation
320,A,False,0.0972822373428534,0.5,,0,No Explanation
321,A,False,0.14978587805311627,0.5,,0,No Explanation
322,A,False,0.20574090957505387,0.5,,0,No Explanation
323,E,False,0.3084386224145917,0.5,,0,No Explanation
324,B,False,0.04814569070990233,0.5,,0,No Explanation
325,B,False,0.07981728660846514,0.5,,0,No Explanation
326,B,False,0.11162361901127053,0.5,,0,No Explanation
327,A,False,0.17520513236943996,0.5,,0,No Explanation
328,A,False,0.1640413409311493,0.5,,0,No Explanation
329,B,False,0.05866249418129119,0.5,,0,No Explanation
330,G,False,0.31599404348664883,0.5,,0,No Explanation
331,C,False,0.2665318414468463,0.5,,0,No Explanation
332,A,False,0.04751314131345091,0.5,,0,No Explanation
333,C,True,0.22737534902098563,0.5,,0,No Explanation
334,A,False,0.0072709275396864335,0.5,,0,No Explanation
335,A,False,0.10599070999796424,0.5,,0,No Explanation
336,B,False,0.061448789027122086,0.5,,0,No Explanation
337,B,False,0.1855807398869818,0.5,,0,No Explanation
338,D,True,0.3189555274947571,0.5,,0,No Explanation
339,D,False,0.23503839854588168,0.5,,0,No Explanation
340,C,True,0.1284083851973979,0.5,,0,No Explanation
341,D,False,0.264365901391313,0.5,,0,No Explanation
342,B,False,0.034621790887934864,0.5,,0,No Explanation
343,D,False,0.21142168265408737,0.5,,0,No Explanation
344,E,False,0.43994668806093673,0.5,,0,No Explanation
345,D,False,0.1804876220510106,0.5,,0,No Explanation
346,E,False,0.21853505798244593,0.5,,0,No Explanation
347,C,False,0.23249647365709625,0.5,,0,No Explanation
348,C,True,0.2973302698661561,0.5,,0,No Explanation
349,A,False,0.21614831713170551,0.5,,0,No Explanation
350,A,False,0.12364426283985865,0.5,,0,No Explanation
351,C,False,0.156055824978476,0.5,,0,No Explanation
352,D,False,0.1544843088166596,0.5,,0,No Explanation
353,B,False,0.1570329875390816,0.5,,0,No Explanation
354,B,False,0.07121076650624544,0.5,,0,No Explanation
355,F,False,0.24315943197595377,0.5,,0,No Explanation
356,A,False,0.07540415068194467,0.5,,0,No Explanation
357,A,False,0.089582807311548,0.5,,0,No Explanation
358,A,False,0.053114511785389354,0.5,,0,No Explanation
359,B,False,0.08393243003423141,0.5,,0,No Explanation
360,A,False,0.026304706151603817,0.5,,0,No Explanation
361,B,False,0.1471332593203876,0.5,,0,No Explanation
362,B,False,0.29897512943528876,0.5,,0,No Explanation
363,B,False,0.23943021737563933,0.5,,0,No Explanation
364,B,False,0.35387388746854803,0.5,,0,No Explanation
365,G,False,0.317338964171168,0.5,,0,No Explanation
366,A,False,0.08401003819262802,0.5,,0,No Explanation
367,B,False,0.035295876839593364,0.5,,0,No Explanation
368,B,False,0.1675823659062078,0.5,,0,No Explanation
369,B,False,0.11046537496117326,0.5,,0,No Explanation
370,C,False,0.15717063607104848,0.5,,0,No Explanation
371,E,False,0.19783460286003407,0.5,,0,No Explanation
372,A,False,0.035360034420558385,0.5,,0,No Explanation
373,F,False,0.38660954881805576,0.5,,0,No Explanation
374,E,False,0.14287769708288303,0.5,,0,No Explanation
375,F,False,0.32528203557098806,0.5,,0,No Explanation
376,A,False,0.107006001558374,0.5,,0,No Explanation
377,C,False,0.2662641321919996,0.5,,0,No Explanation
378,E,False,0.335801962282498,0.5,,0,No Explanation
379,D,False,0.2535169815411581,0.5,,0,No Explanation
380,E,False,0.1232341367881572,0.5,,0,No Explanation
381,C,False,0.3287070089200966,0.5,,0,No Explanation
382,C,True,0.1120434746669765,0.5,,0,No Explanation
383,B,False,0.09713548451500903,0.5,,0,No Explanation
384,A,False,0.03628586375817485,0.5,,0,No Explanation
385,B,False,0.19529487259312295,0.5,,0,No Explanation
386,B,True,0.2575956003466147,0.5,,0,No Explanation
387,B,False,0.17075165600957382,0.5,,0,No Explanation
388,E,False,0.2531014832344563,0.5,,0,No Explanation
389,A,False,0.056031560252650804,0.5,,0,No Explanation
390,C,False,0.2918860478593323,0.5,,0,No Explanation
391,A,False,0.18137793821616321,0.5,,0,No Explanation
392,A,False,0.061777420479520895,0.5,,0,No Explanation
393,C,False,0.22555288659489411,0.5,,0,No Explanation
394,B,False,0.06624549289105902,0.5,,0,No Explanation
395,C,False,0.19855677231095856,0.5,,0,No Explanation
396,A,False,0.1374228791967591,0.5,,0,No Explanation
397,C,False,0.2936808865407657,0.5,,0,No Explanation
398,B,True,0.09058176417923784,0.5,,0,No Explanation
399,D,False,0.3040516636726005,0.5,,0,No Explanation
400,B,False,0.07169503066207444,0.5,,0,No Explanation
401,B,True,0.17018500212349444,0.5,,0,No Explanation
402,B,True,0.11413429732551432,0.5,,0,No Explanation
403,E,False,0.22300338407201492,0.5,,0,No Explanation
404,A,False,0.12450644571470439,0.5,,0,No Explanation
405,A,False,0.04194226490360654,0.5,,0,No Explanation
406,B,False,0.2968061110147589,0.5,,0,No Explanation
407,E,False,0.36988372943459663,0.5,,0,No Explanation
408,A,False,0.07230938459989857,0.5,,0,No Explanation
409,B,False,0.2850825426479803,0.5,,0,No Explanation
410,C,True,0.23431112831425668,0.5,,0,No Explanation
411,B,False,0.10316761630728472,0.5,,0,No Explanation
412,C,False,0.16054403405942602,0.5,,0,No Explanation
413,B,False,0.20196308718632372,0.5,,0,No Explanation
414,B,False,0.18915058585041186,0.5,,0,No Explanation
415,D,False,0.254135145495595,0.5,,0,No Explanation
416,F,False,0.18796041257037724,0.5,,0,No Explanation
417,D,False,0.20735228013766124,0.5,,0,No Explanation
418,D,True,0.28549001310637173,0.5,,0,No Explanation
419,C,False,0.0987250141648129,0.5,,0,No Explanation
420,A,False,0.032421420996759154,0.5,,0,No Explanation
421,D,True,0.3645353476202113,0.5,,0,No Explanation
422,B,False,0.03950254110968397,0.5,,0,No Explanation
423,A,False,0.15960108737954315,0.5,,0,No Explanation
424,A,False,0.07385940597884007,0.5,,0,No Explanation
425,B,True,0.1402827845093795,0.5,,0,No Explanation
426,E,False,0.2703831019044393,0.5,,0,No Explanation
427,B,False,0.11693337441075034,0.5,,0,No Explanation
428,C,False,0.1749068079602545,0.5,,0,No Explanation
429,B,False,0.12047213699220864,0.5,,0,No Explanation
430,C,False,0.1387153195133012,0.5,,0,No Explanation
431,B,False,0.183660577843068,0.5,,0,No Explanation
432,E,True,0.326273314993705,0.5,,0,No Explanation
433,C,False,0.22016550035989454,0.5,,0,No Explanation
434,B,False,0.1193748519752348,0.5,,0,No Explanation
435,C,False,0.16863635547965253,0.5,,0,No Explanation
436,C,False,0.22692216738617849,0.5,,0,No Explanation
437,A,True,0.14844170460767922,0.5,,0,No Explanation
438,B,True,0.29061510132321794,0.5,,0,No Explanation
439,A,False,0.15497194832431901,0.5,,0,No Explanation
440,A,False,0.05353154448592623,0.5,,0,No Explanation
441,B,False,0.12945383912716568,0.5,,0,No Explanation
442,E,True,0.2711352953604535,0.5,,0,No Explanation
443,B,False,0.06794662643151331,0.5,,0,No Explanation
444,B,False,0.1963145953193034,0.5,,0,No Explanation
445,A,False,0.12579973231518293,0.5,,0,No Explanation
446,C,False,0.19011507529210833,0.5,,0,No Explanation
447,A,False,0.04310578740004231,0.5,,0,No Explanation
448,E,False,0.3377927111465369,0.5,,0,No Explanation
